Date,Open,High,Low,Close,Volume
2025-11-03,1510.0,1520.0,1490.0,1510.0,29118770
2025-11-04,1520.0,1525.0,1495.0,1505.0,33925673
2025-11-05,1480.0,1485.0,1455.0,1460.0,56305422
2025-11-06,1470.0,1480.0,1465.0,1465.0,27411394
2025-11-07,1460.0,1465.0,1455.0,1460.0,20329390
2025-11-10,1470.0,1485.0,1465.0,1475.0,25281744
2025-11-11,1490.0,1495.0,1465.0,1465.0,22444166
2025-11-12,1470.0,1485.0,1460.0,1475.0,23642502
2025-11-13,1460.0,1470.0,1460.0,1460.0,21255597
2025-11-14,1425.0,1440.0,1425.0,1430.0,26861702
2025-11-17,1450.0,1460.0,1445.0,1445.0,26602730
2025-11-18,1435.0,1435.0,1405.0,1405.0,42198432
2025-11-19,1400.0,1415.0,1395.0,1395.0,35591948
2025-11-20,1450.0,1460.0,1440.0,1455.0,25964403
2025-11-21,1395.0,1405.0,1385.0,1385.0,54518246
2025-11-24,1400.0,1405.0,1375.0,1375.0,79134658
2025-11-25,1425.0,1425.0,1405.0,1415.0,27427405
2025-11-26,1430.0,1440.0,1425.0,1440.0,29213211
2025-11-27,1450.0,1455.0,1430.0,1435.0,22039774
2025-11-28,1440.0,1455.0,1435.0,1440.0,23152513
2025-12-01,1445.0,1445.0,1410.0,1410.0,32503980
