日期,景氣對策信號(分)
Jan-84,42
Feb-84,39
Mar-84,37
Apr-84,34
May-84,37
Jun-84,30
Jul-84,30
Aug-84,27
Sep-84,25
Oct-84,28
Nov-84,21
Dec-84,21
Jan-85,16
Feb-85,19
Mar-85,14
Apr-85,14
May-85,14
Jun-85,12
Jul-85,12
Aug-85,13
Sep-85,14
Oct-85,15
Nov-85,15
Dec-85,22
Jan-86,21
Feb-86,19
Mar-86,33
Apr-86,28
May-86,29
Jun-86,37
Jul-86,34
Aug-86,39
Sep-86,36
Oct-86,36
Nov-86,38
Dec-86,37
Jan-87,36
Feb-87,40
Mar-87,32
Apr-87,41
May-87,39
Jun-87,38
Jul-87,34
Aug-87,36
Sep-87,37
Oct-87,31
Nov-87,35
Dec-87,32
Jan-88,29
Feb-88,33
Mar-88,28
Apr-88,27
May-88,31
Jun-88,30
Jul-88,30
Aug-88,31
Sep-88,28
Oct-88,29
Nov-88,33
Dec-88,32
Jan-89,36
Feb-89,34
Mar-89,40
Apr-89,39
May-89,34
Jun-89,30
Jul-89,32
Aug-89,27
Sep-89,24
Oct-89,25
Nov-89,24
Dec-89,25
Jan-90,23
Feb-90,27
Mar-90,21
Apr-90,20
May-90,17
Jun-90,14
Jul-90,17
Aug-90,17
Sep-90,18
Oct-90,21
Nov-90,20
Dec-90,15
Jan-91,20
Feb-91,19
Mar-91,19
Apr-91,20
May-91,23
Jun-91,24
Jul-91,29
Aug-91,27
Sep-91,27
Oct-91,30
Nov-91,30
Dec-91,28
Jan-92,29
Feb-92,29
Mar-92,28
Apr-92,28
May-92,24
Jun-92,25
Jul-92,25
Aug-92,25
Sep-92,22
Oct-92,25
Nov-92,21
Dec-92,24
Jan-93,19
Feb-93,23
Mar-93,24
Apr-93,20
May-93,20
Jun-93,17
Jul-93,21
Aug-93,22
Sep-93,23
Oct-93,24
Nov-93,21
Dec-93,27
Jan-94,32
Feb-94,29
Mar-94,26
Apr-94,30
May-94,30
Jun-94,32
Jul-94,30
Aug-94,33
Sep-94,34
Oct-94,36
Nov-94,39
Dec-94,31
Jan-95,30
Feb-95,34
Mar-95,30
Apr-95,29
May-95,28
Jun-95,25
Jul-95,23
Aug-95,21
Sep-95,22
Oct-95,15
Nov-95,13
Dec-95,16
Jan-96,18
Feb-96,18
Mar-96,13
Apr-96,21
May-96,15
Jun-96,17
Jul-96,19
Aug-96,20
Sep-96,24
Oct-96,22
Nov-96,26
Dec-96,28
Jan-97,26
Feb-97,24
Mar-97,31
Apr-97,24
May-97,24
Jun-97,28
Jul-97,30
Aug-97,26
Sep-97,31
Oct-97,26
Nov-97,28
Dec-97,29
Jan-98,23
Feb-98,27
Mar-98,25
Apr-98,20
May-98,19
Jun-98,20
Jul-98,16
Aug-98,22
Sep-98,18
Oct-98,16
Nov-98,19
Dec-98,14
Jan-99,18
Feb-99,17
Mar-99,16
Apr-99,20
May-99,22
Jun-99,25
Jul-99,24
Aug-99,23
Sep-99,19
Oct-99,26
Nov-99,26
Dec-99,28
Jan-00,32
Feb-00,30
Mar-00,29
Apr-00,28
May-00,29
Jun-00,27
Jul-00,26
Aug-00,28
Sep-00,28
Oct-00,23
Nov-00,17
Dec-00,16
Jan-01,10
Feb-01,10
Mar-01,10
Apr-01,9
May-01,9
Jun-01,9
Jul-01,9
Aug-01,11
Sep-01,9
Oct-01,9
Nov-01,10
Dec-01,15
Jan-02,15
Feb-02,15
Mar-02,20
Apr-02,26
May-02,25
Jun-02,25
Jul-02,29
Aug-02,24
Sep-02,29
Oct-02,23
Nov-02,26
Dec-02,24
Jan-03,20
Feb-03,22
Mar-03,17
Apr-03,14
May-03,14
Jun-03,20
Jul-03,24
Aug-03,26
Sep-03,29
Oct-03,31
Nov-03,30
Dec-03,34
Jan-04,35
Feb-04,34
Mar-04,36
Apr-04,37
May-04,39
Jun-04,36
Jul-04,35
Aug-04,33
Sep-04,32
Oct-04,29
Nov-04,28
Dec-04,26
Jan-05,23
Feb-05,23
Mar-05,22
Apr-05,20
May-05,18
Jun-05,20
Jul-05,19
Aug-05,23
Sep-05,23
Oct-05,24
Nov-05,24
Dec-05,27
Jan-06,28
Feb-06,28
Mar-06,23
Apr-06,23
May-06,24
Jun-06,21
Jul-06,21
Aug-06,22
Sep-06,22
Oct-06,20
Nov-06,21
Dec-06,16
Jan-07,18
Feb-07,19
Mar-07,23
Apr-07,18
May-07,20
Jun-07,25
Jul-07,30
Aug-07,30
Sep-07,32
Oct-07,32
Nov-07,28
Dec-07,29
Jan-08,29
Feb-08,27
Mar-08,26
Apr-08,27
May-08,22
Jun-08,20
Jul-08,16
Aug-08,18
Sep-08,12
Oct-08,12
Nov-08,11
Dec-08,9
Jan-09,9
Feb-09,10
Mar-09,10
Apr-09,11
May-09,12
Jun-09,17
Jul-09,18
Aug-09,18
Sep-09,20
Oct-09,26
Nov-09,37
Dec-09,37
Jan-10,38
Feb-10,38
Mar-10,39
Apr-10,39
May-10,37
Jun-10,37
Jul-10,38
Aug-10,38
Sep-10,37
Oct-10,34
Nov-10,32
Dec-10,34
Jan-11,34
Feb-11,34
Mar-11,31
Apr-11,29
May-11,27
Jun-11,25
Jul-11,23
Aug-11,20
Sep-11,21
Oct-11,19
Nov-11,16
Dec-11,14
Jan-12,13
Feb-12,15
Mar-12,14
Apr-12,14
May-12,15
Jun-12,15
Jul-12,16
Aug-12,15
Sep-12,20
Oct-12,19
Nov-12,21
Dec-12,22
Jan-13,19
Feb-13,20
Mar-13,18
Apr-13,17
May-13,19
Jun-13,23
Jul-13,20
Aug-13,20
Sep-13,20
Oct-13,21
Nov-13,21
Dec-13,24
Jan-14,22
Feb-14,25
Mar-14,25
Apr-14,29
May-14,24
Jun-14,26
Jul-14,27
Aug-14,29
Sep-14,27
Oct-14,24
Nov-14,25
Dec-14,22
Jan-15,23
Feb-15,24
Mar-15,22
Apr-15,16
May-15,18
Jun-15,16
Jul-15,14
Aug-15,14
Sep-15,14
Oct-15,15
Nov-15,15
Dec-15,14
Jan-16,14
Feb-16,16
Mar-16,16
Apr-16,17
May-16,20
Jun-16,20
Jul-16,23
Aug-16,25
Sep-16,23
Oct-16,24
Nov-16,26
Dec-16,28
Jan-17,29
Feb-17,28
Mar-17,24
Apr-17,21
May-17,20
Jun-17,22
Jul-17,22
Aug-17,25
Sep-17,28
Oct-17,23
Nov-17,23
Dec-17,22
Jan-18,20
Feb-18,24
Mar-18,23
Apr-18,26
May-18,29
Jun-18,22
Jul-18,26
Aug-18,24
Sep-18,22
Oct-18,22
Nov-18,17
Dec-18,16
Jan-19,20
Feb-19,17
Mar-19,20
Apr-19,21
May-19,18
Jun-19,21
Jul-19,22
Aug-19,20
Sep-19,19
Oct-19,19
Nov-19,24
Dec-19,27
Jan-20,25
Feb-20,24
Mar-20,20
Apr-20,19
May-20,19
Jun-20,19
Jul-20,21
Aug-20,26
Sep-20,27
Oct-20,28
Nov-20,30
Dec-20,34
Jan-21,37
Feb-21,40
Mar-21,40
Apr-21,41
May-21,41
Jun-21,40
Jul-21,38
Aug-21,39
Sep-21,38
Oct-21,39
Nov-21,37
Dec-21,38
Jan-22,36
Feb-22,34
Mar-22,31
Apr-22,28
May-22,28
