trade_id,entry_signal_date,entry_date,entry_price,exit_signal_date,exit_date,exit_price,return_pct,holding_days,holding_weeks,mae_pct,mfe_pct,profit_giveback_pct,is_winner,status
1,1998-10-23,1998-10-26,7050.2881,1998-12-31,1999-01-05,6152.4014,-12.7355,71,10.1429,-12.7355,5.4681,18.2036,False,closed
2,1999-03-12,1999-03-15,6598.2896,1999-07-30,1999-08-02,7195.9067,9.0572,140,20.0,0.0,30.4712,21.4141,True,closed
3,1999-09-10,1999-09-13,8178.6523,1999-09-17,1999-09-20,7972.103,-2.5255,7,1.0,-3.2006,0.0,2.5255,False,closed
4,1999-12-24,1999-12-27,8415.0303,2000-03-17,2000-03-20,8536.0098,1.4377,84,12.0,0.0,21.2373,19.7996,True,closed
5,2000-03-31,2000-04-05,10186.123,2000-04-14,2000-04-17,8993.6387,-11.707,12,1.7143,-11.707,0.0,11.707,False,closed
6,2001-01-12,2001-01-15,5379.6357,2001-06-01,2001-06-04,4985.0869,-7.3341,140,20.0,-7.8267,13.4689,20.803,False,closed
7,2001-06-08,2001-06-11,5271.2759,2001-06-29,2001-07-02,4886.8374,-7.2931,21,3.0,-9.5375,0.0,7.2931,False,closed
8,2001-08-31,2001-09-03,4454.7495,2001-09-14,2001-09-18,3774.6025,-15.2679,15,2.1429,-15.2679,0.8701,16.138,False,closed
9,2001-10-26,2001-10-29,4065.0813,2002-05-03,2002-05-06,5642.4546,38.803,189,27.0,-3.9755,58.9703,20.1673,True,closed
10,2002-11-08,2002-11-11,4664.6289,2003-02-27,2003-03-03,4526.6694,-2.9576,112,16.0,-4.9777,8.8785,11.836,False,closed
11,2003-04-18,2003-04-21,4648.0991,2003-04-25,2003-04-28,4139.48,-10.9425,7,1.0,-10.9425,0.0,10.9425,False,closed
12,2003-05-30,2003-06-02,4692.9189,2003-11-21,2003-11-24,5821.5532,24.0497,175,25.0,-0.3166,30.8843,6.8345,True,closed
13,2004-01-30,2004-02-02,6319.9307,2004-03-26,2004-03-29,6474.0801,2.4391,56,8.0,-2.9642,11.2998,8.8607,True,closed
14,2004-09-03,2004-09-06,5775.9644,2005-01-28,2005-01-31,5994.2021,3.7784,147,21.0,-2.1645,6.3561,2.5778,True,closed
15,2005-02-03,2005-02-14,6112.3721,2005-04-08,2005-04-11,5979.3926,-2.1756,56,8.0,-2.5263,2.4097,4.5853,False,closed
16,2005-06-10,2005-06-13,6231.021,2005-08-26,2005-08-29,6049.4121,-2.9146,77,11.0,-2.9146,3.6032,6.5178,False,closed
17,2005-12-02,2005-12-05,6348.2803,2006-03-17,2006-03-20,6516.4897,2.6497,105,15.0,-1.7794,6.2076,3.558,True,closed
18,2006-04-07,2006-04-10,6780.6089,2006-06-09,2006-06-12,6442.8701,-4.981,63,9.0,-6.6193,10.2263,15.2073,False,closed
19,2006-09-22,2006-09-25,6911.1782,2007-03-02,2007-03-05,7344.5264,6.2702,161,23.0,-0.5242,14.8213,8.551,True,closed
20,2007-06-01,2007-06-04,8294.75,2007-08-17,2007-08-20,8515.5596,2.662,77,11.0,-2.4654,17.4721,14.81,True,closed
21,2007-10-05,2007-10-08,9717.125,2007-11-09,2007-11-12,8670.5703,-10.7702,35,5.0,-10.7702,0.9541,11.7243,False,closed
22,2008-03-07,2008-03-10,8299.3301,2008-06-13,2008-06-16,8169.7324,-1.5615,98,14.0,-3.5413,11.9989,13.5604,False,closed
23,2008-12-19,2008-12-22,4535.519,2009-08-28,2009-08-31,6825.9189,50.4992,252,36.0,-6.4586,57.4814,6.9822,True,closed
24,2009-09-11,2009-09-14,7256.9165,2009-10-30,2009-11-02,7335.1465,1.078,49,7.0,0.0,6.8427,5.7647,True,closed
25,2009-12-31,2010-01-04,8207.8096,2010-01-29,2010-02-01,7524.6353,-8.3235,28,4.0,-8.3235,1.8158,10.1393,False,closed
26,2010-07-30,2010-08-02,7911.6431,2011-02-18,2011-02-21,8839.1797,11.7237,203,29.0,-3.7337,15.593,3.8693,True,closed
27,2011-05-13,2011-05-16,8911.6689,2011-05-20,2011-05-23,8747.4697,-1.8425,7,1.0,-1.8425,0.3718,2.2143,False,closed
28,2011-11-04,2011-11-07,7621.6851,2011-11-25,2011-11-28,6898.748,-9.4853,21,3.0,-10.9844,0.0,9.4853,False,closed
29,2011-12-30,2012-01-03,7053.3481,2012-04-27,2012-04-30,7501.686,6.3564,118,16.8571,0.0,15.4629,9.1065,True,closed
30,2012-08-10,2012-08-13,7436.2656,2012-10-26,2012-10-29,7091.6377,-4.6344,77,11.0,-4.6344,4.6476,9.282,False,closed
31,2012-12-07,2012-12-10,7609.4648,2013-04-12,2013-04-15,7763.4941,2.0242,126,18.0,-1.1771,5.6406,3.6164,True,closed
32,2013-04-26,2013-04-29,8029.7026,2013-06-14,2013-06-17,7992.8525,-0.4589,49,7.0,-1.1457,4.5966,5.0556,False,closed
33,2013-09-18,2013-09-23,8292.79,2013-11-15,2013-11-18,8191.4224,-1.2224,56,8.0,-2.2739,2.0769,3.2992,False,closed
34,2013-12-13,2013-12-16,8313.8301,2014-02-07,2014-02-10,8391.9102,0.9392,56,8.0,-0.5941,3.7459,2.8068,True,closed
35,2014-02-27,2014-03-03,8601.9404,2014-08-08,2014-08-11,9172.8682,6.6372,161,23.0,-0.5515,11.2438,4.6066,True,closed
36,2014-12-26,2014-12-29,9286.2383,2015-05-15,2015-05-18,9606.0557,3.444,140,20.0,-2.5623,7.3963,3.9523,True,closed
37,2015-10-16,2015-10-19,8631.46,2016-01-08,2016-01-11,7788.3843,-9.7675,84,12.0,-9.7675,2.6128,12.3802,False,closed
